title,source,search_query
Machine learning for practical quantum error mitigation,Scholar,QEM + ML
QEM-Bench: Benchmarking Learning-based Quantum Error Mitigation and QEMFormer as a Multi-ranged Context Learning Baseline,Scholar,QEM + ML
Quantum expectation-maximization for Gaussian mixture models,Scholar,QEM + ML
Physics-inspired machine learning for quantum error mitigation,Scholar,QEM + ML
Real-time error mitigation for variational optimization on quantum hardware,Scholar,QEM + ML
Quantum Error Mitigation with Deep Learning and Sequence Models,Scholar,QEM + ML
Neural Network-Guided Extrapolation Technique for Quantum Variational Algorithms,Scholar,QEM + ML
Physics-Inspired Machine Learning for Quantum Error Mitigation,Scholar,QEM + ML
Beyond circuit connections: A non-message passing graph transformer approach for quantum error mitigation,Scholar,QEM + ML
A machine learning-based error mitigation approach for reliable software development on IBM's quantum computers,Scholar,QEM + ML
Vmnet: Voxel-mesh network for geodesic-aware 3d semantic segmentation,Scholar,QEM + ML
Statistical Signal Processing for Quantum Error Mitigation,Scholar,QEM + ML
Low-Power 9.6-11GHz and 10.8-12GHz VCOs Designed for a 2.5/5GHz TRx using High-Q Inductors Synthesized with ML Techniques,Scholar,QEM + ML
Adaptive neural network for quantum error mitigation,Scholar,QEM + ML
Dualconvmesh-net: Joint geodesic and euclidean convolutions on 3d meshes,Scholar,QEM + ML
[PS] kfk= sup x2Rjf (x) j,Scholar,QEM + ML
Machine Learning Approach towards Quantum Error Mitigation for Accurate Molecular Energetics,Scholar,QEM + ML
QUIET: A Tool for Sampling-Based Quantum Noise Error Mitigation,Scholar,QEM + ML
Calibration of a QEM-EDS system for rapid determination of potassium concentrations of feldspar grains used in optical dating,Scholar,QEM + ML
Understanding Optimization Approaches for Enhancing Quantum Error Detection and Correction,Scholar,QEM + ML
Artificial intelligence for quantum computing,Scholar,QEM + ML
An empirical comparison of optimizers for quantum machine learning with spsa-based gradients,Scholar,QEM + ML
Grafting of short elastin-like peptides using an electric field,Scholar,QEM + ML
AI/ML-based design principles of transceivers for wireless systems,Scholar,QEM + ML
Foundations of quantum federated learning over classical and quantum networks,Scholar,QEM + ML
Personalized Improvement of Standard Readout Error Mitigation using Low-Depth Circuits and Machine Learning,Scholar,QEM + ML
Voxel-mesh network for geodesic-aware 3D semantic segmentation of indoor scenes,Scholar,QEM + ML
Diabetes prediction using an optimized variational quantum classifier,Scholar,QEM + ML
Comparing Contrast Agent Enhancement: The Value of Artificial Intelligence/Machine Learning,Scholar,QEM + ML
Adaptive Quantum Error Mitigation with Reinforcement Learning for NISQ,Scholar,QEM + ML
