source_file,authors,year,title,venue,doi
1.txt,"Asmar Muqeet, Shaukat Ali, Tao Yue, and Paolo Arcaini",2024,A Machine Learning-Based Error Mitigation Approach for Reliable Software Development on IBM’s Quantum Computers,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering (FSE 2024),https://doi.org/10.1145/3663529.3663830
1.txt,"Hanyu Zhang, Liqiang Lu, Siwei Tan, Size Zheng, Jia Yu, and Jianwei Yin",2024,SpREM: Exploiting Hamming Sparsity for Fast Quantum Readout Error Mitigation,Proceedings of the 61st ACM/IEEE Design Automation Conference (DAC '24),https://doi.org/10.1145/3649329.3655675
1.txt,"Samuel Stein, Nathan Wiebe, Yufei Ding, James Ang, and Ang Li",2023,Q-BEEP: Quantum Bayesian Error Mitigation Employing Poisson Modeling over the Hamming Spectrum,Proceedings of the 50th Annual International Symposium on Computer Architecture (ISCA '23),https://doi.org/10.1145/3579371.3589043
1.txt,Hristo Djidjev,2024,Replication-Based Quantum Annealing Error Mitigation,Proceedings of the 21st ACM International Conference on Computing Frontiers (CF '24),https://doi.org/10.1145/3649153.3649200
13.txt,"Asmar Muqeet, Shaukat Ali, Tao Yue, and Paolo Arcaini",2024,A Machine Learning-Based Error Mitigation Approach for Reliable Software Development on IBM’s Quantum Computers,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering (FSE 2024),https://doi.org/10.1145/3663529.3663830
14.txt,"Samuel Stein, Nathan Wiebe, Yufei Ding, James Ang, and Ang Li",2023,Q-BEEP: Quantum Bayesian Error Mitigation Employing Poisson Modeling over the Hamming Spectrum,Proceedings of the 50th Annual International Symposium on Computer Architecture (ISCA '23),https://doi.org/10.1145/3579371.3589043
14.txt,"Asmar Muqeet, Shaukat Ali, Tao Yue, and Paolo Arcaini",2024,A Machine Learning-Based Error Mitigation Approach for Reliable Software Development on IBM’s Quantum Computers,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering (FSE 2024),https://doi.org/10.1145/3663529.3663830
15.txt,"Asmar Muqeet, Shaukat Ali, Tao Yue, and Paolo Arcaini",2024,A Machine Learning-Based Error Mitigation Approach for Reliable Software Development on IBM’s Quantum Computers,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering (FSE 2024),https://doi.org/10.1145/3663529.3663830
17.txt,"Betis Baheri, Vipin Chaudhary, Ang Li, Shuai Xu, Bo Fang, and Qiang Guan",2023,Quantum Noise Mitigation: Introducing the Robust Quantum Circuit Scheduler for Enhanced Fidelity and Throughput,Proceedings of the 2023 International Workshop on Quantum Classical Cooperative (QCCC '23),https://doi.org/10.1145/3588983.3596688
22.txt,"Betis Baheri, Vipin Chaudhary, Ang Li, Shuai Xu, Bo Fang, and Qiang Guan",2023,Quantum Noise Mitigation: Introducing the Robust Quantum Circuit Scheduler for Enhanced Fidelity and Throughput,Proceedings of the 2023 International Workshop on Quantum Classical Cooperative (QCCC '23),https://doi.org/10.1145/3588983.3596688
5.txt,"Asmar Muqeet, Shaukat Ali, Tao Yue, and Paolo Arcaini",2024,A Machine Learning-Based Error Mitigation Approach for Reliable Software Development on IBM’s Quantum Computers,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering (FSE 2024),https://doi.org/10.1145/3663529.3663830
6.txt,"Samuel Stein, Nathan Wiebe, Yufei Ding, James Ang, and Ang Li",2023,Q-BEEP: Quantum Bayesian Error Mitigation Employing Poisson Modeling over the Hamming Spectrum,Proceedings of the 50th Annual International Symposium on Computer Architecture (ISCA '23),https://doi.org/10.1145/3579371.3589043
6.txt,"Hanyu Zhang, Liqiang Lu, Siwei Tan, Size Zheng, Jia Yu, and Jianwei Yin",2024,SpREM: Exploiting Hamming Sparsity for Fast Quantum Readout Error Mitigation,Proceedings of the 61st ACM/IEEE Design Automation Conference (DAC '24),https://doi.org/10.1145/3649329.3655675
6.txt,Hristo Djidjev,2024,Replication-Based Quantum Annealing Error Mitigation,Proceedings of the 21st ACM International Conference on Computing Frontiers (CF '24),https://doi.org/10.1145/3649153.3649200
6.txt,"Asmar Muqeet, Shaukat Ali, Tao Yue, and Paolo Arcaini",2024,A Machine Learning-Based Error Mitigation Approach for Reliable Software Development on IBM’s Quantum Computers,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering (FSE 2024),https://doi.org/10.1145/3663529.3663830
7.txt,"Asmar Muqeet, Shaukat Ali, Tao Yue, and Paolo Arcaini",2024,A Machine Learning-Based Error Mitigation Approach for Reliable Software Development on IBM’s Quantum Computers,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering (FSE 2024),https://doi.org/10.1145/3663529.3663830
8.txt,Hristo Djidjev,2024,Replication-Based Quantum Annealing Error Mitigation,Proceedings of the 21st ACM International Conference on Computing Frontiers (CF '24),https://doi.org/10.1145/3649153.3649200
9.txt,"Asmar Muqeet, Shaukat Ali, Tao Yue, and Paolo Arcaini",2024,A Machine Learning-Based Error Mitigation Approach for Reliable Software Development on IBM’s Quantum Computers,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering (FSE 2024),https://doi.org/10.1145/3663529.3663830
9.txt,"Samuel Stein, Nathan Wiebe, Yufei Ding, James Ang, and Ang Li",2023,Q-BEEP: Quantum Bayesian Error Mitigation Employing Poisson Modeling over the Hamming Spectrum,Proceedings of the 50th Annual International Symposium on Computer Architecture (ISCA '23),https://doi.org/10.1145/3579371.3589043
