merged_from,source_file,authors,year,title,venue,doi,publisher
google_title.csv,1.csv,"P Aggarwal, A Aggarwal",2022,""" Exploring Trainability and Noise Mitigation in Quantum Machine Learning: Challenges and Solutions""",Journal Homepage: http://ijmr. net. in,,researchgate.net
springer_title.csv,1.csv,Lennart SchulzeIsabell HeiderJan-Rainer Lahmann,2021,1.3 Technologie - Blogbeitrag: The Quantum GHZ game: a playful introduction to entanglement and error mitigation on real Quantum computers,Digitale Welt,10.1007/s42354-021-0418-5,Springer
google_title.csv,1.csv,"G Acampora, A Vitiello",2023,A competent memetic algorithm for error mitigation in quantum measurement,2023 IEEE Congress on Evolutionary …,,ieeexplore.ieee.org
acm_title.csv,1.txt,"Asmar Muqeet, Shaukat Ali, Tao Yue, and Paolo Arcaini",2024,A Machine Learning-Based Error Mitigation Approach for Reliable Software Development on IBM’s Quantum Computers,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering (FSE 2024),https://doi.org/10.1145/3663529.3663830,
google_title.csv,13.csv,"MA Argoubi, M Trabelssi, M Hilli",2024,A new LaSQEM and LaWQEM approaches for stability and free vibration analysis of a strain gradient elastic Euler-Bernoulli nanobeam,Int. J. Mech. Control,,researchgate.net
google_title.csv,9.csv,M Trabelssi,2025,A new paradigm for deriving the higher-order 2D Hermite polynomial basis: Part I—a fully integrated WQEM formulation for some fourth-order systems: M …,Acta Mechanica,10.1007/s00707-025-04571-8,Springer
google_title.csv,9.csv,M Trabelssi,2026,A new paradigm for deriving the higher-order 2D Hermite polynomial basis: Part II-DQM matrix formulation for the LaDQM and SQEM and WQEM GLL for …,Acta Mechanica,10.1007/s00707-025-04544-x,Springer
google_title.csv,15.csv,Z Cai,2021,A practical framework for quantum error mitigation,arXiv preprint arXiv:2110.05389,,arxiv.org
google_title.csv,1.csv,"YC Chen, X Huang, P Plecháč, M Sandberg, ...",2024,A quantum error mitigation model for mean-field electron structures,,,diva-portal.org
google_title.csv,1.csv,"A Mandal, P Ambedkar, HS Syed",2025,A Software-Based Framework for Dynamic Noise Mitigation in Quantum Circuits,Available at SSRN 5370986,,papers.ssrn.com
google_title.csv,10.csv,"B Zhang, X Yu, W Cai, X Zhou, B Wang, T Zhang",2026,A Structure-Aware Triangular Mesh Simplification Based on Graph Neural Networks (GNNs)-Guided Quadric Error Metrics (QEM),,,preprints.org
google_title.csv,17.csv,"V Skarlatos, A Informatics, A Kydros, N Konofaos",,"Adaptive Entanglement Purification for Real–Time Quantum Noise Mitigation in Fiber–Optic Qubit Channels, a Monte Carlo Simulation",wscg.zcu.cz,,
google_title.csv,1.csv,"KF Koenig, F Reinecke, T Wellens",2025,Adaptive folding and noise filtering for robust quantum error mitigation,arXiv preprint arXiv:2505.04463,,arxiv.org
