merged_from,source_file,authors,year,title,venue,doi,publisher,S4-1,S4-2,S4-3,비고
google_title.csv,1.csv,"S Rao, IR Indu",2026,Adaptive Hardware-Aware Quantum Error Mitigation Policy Selection Framework on Edge Devices,2026 IEEE International Conference for …,,ieeexplore.ieee.org,,,,
google_title.csv,1.csv,"R Haribaskar, N Jayakumar, ...",2026,Adaptive Quantum Error Mitigation Using Machine Learning in Noisy Intermediate-Scale Quantum Systems,2026 9th International …,,ieeexplore.ieee.org,,,,
google_title.csv,1.csv,"T Bao, X Ye, H Ruan, C Liu, W Wu, ...",2025,Beyond circuit connections: A non-message passing graph transformer approach for quantum error mitigation,… Conference on Learning …,,openreview.net,,,,
google_title.csv,1.csv,"HQ Nguyen, XB Nguyen, SYC Chen, ...",2025,Diffusion-inspired quantum noise mitigation in parameterized quantum circuits,Quantum Machine …,10.1007/s42484-025-00276-2,Springer,,,,
google_title.csv,1.csv,"D Lakshanya, V Karthick",2025,Enhancing Quantum Computation Accuracy on Ibm Quantum Hardware Through Advanced Error Mitigation Strategies,,,researchsquare.com,,,,
google_title.csv,1.csv,"J Pazem, MH Ansari",2025,Error mitigation in brainbox quantum autoencoders,Scientific Reports,,nature.com,,,,
google_title.csv,5.csv,"G Acampora, A Vitiello",2021,Error mitigation in quantum measurement through fuzzy C-means clustering,2021 IEEE international conference on …,,ieeexplore.ieee.org,,,,클러스터링
google_title.csv,4.csv,"XM Zhang, W Kong, MU Farooq, MH Yung, G Guo, ...",2021,Generic detection-based error mitigation using quantum autoencoders,Physical Review A,10.1103/PhysRevA.103.L040403,APS,,,,
google_title.csv,1.csv,"SH Sack, DJ Egger",2024,Large-scale quantum approximate optimization on nonplanar graphs with machine learning noise mitigation,Physical Review Research,10.1103/PhysRevResearch.6.013223,APS,,,,
google_title.csv,1.csv,"S Patil, D Mondal, R Maitra",2025,Machine learning approach toward quantum error mitigation for accurate molecular energetics,The Journal of Chemical Physics,,pubs.aip.org,,,,
google_title.csv,1.csv,"HP Patil, D Baron, H Zhou",2025,Q-cluster: quantum error mitigation through noise-aware unsupervised learning,2025 IEEE International …,,ieeexplore.ieee.org,,,,
google_title.csv,1.csv,"T Bao, R Zhong, X Ye, Y Tang, J Yan",2025,QEM-Bench: Benchmarking Learning-based Quantum Error Mitigation and QEMFormer as a Multi-ranged Context Learning Baseline,… on Machine Learning,,openreview.net,,,,
